a	/a/
boulon	/bulɔ̃/
boulons	/bulɔ̃/
boulot	/bulo/
boulots	/bulo/
boulotte	/bulɔt/
boum	/bum/
boume	/bum/
bouquet	/bukɛ/
bouquets	/bukɛ/
bouquin	/bukɛ̃/
bouquine	/bukin/
bouquiner	/bukine/
bouquiniste	/bukinist/
bouquins	/bukɛ̃/
bourbier	/buʁbje/
bourbon	/buʁbɔ̃/
Bourbon	/buʁbɔ̃/
bourbons	/buʁbɔ̃/
bourde	/buʁd/
bourdes	/buʁd/
bourdon	/buʁdɔ̃/
bourdonnant	/buʁdɔnɑ̃/
bourdonne	/buʁdɔn/
bourdonnement	/buʁdɔnmɑ̃/
bourdonnements	/buʁdɔnmɑ̃/
bourdonnent	/buʁdɔn/
bourdonner	/buʁdɔne/
bourdons	/buʁdɔ̃/
bourg	/buʁ/
bourgade	/buʁgad/
bourge	/buʁʒ/
bourgeois	/buʁʒwa/
bourgeoise	/buʁʒwaz/
bourgeoises	/buʁʒwaz/
bourgeoisie	/buʁʒwazi/
bourgeon	/buʁʒɔ̃/
bourgeons	/buʁʒɔ̃/
bourgmestre	/buʁgmɛstʁ/
bourgogne	/buʁgɔɲ/
Bourgogne	/buʁgɔɲ/
bourguignon	/buʁgiɲɔ̃/
bourlingué	/buʁlɛ̃ge/
bourlinguer	/buʁlɛ̃ge/
bourrache	/buʁaʃ/
bourrage	/buʁaʒ/
bourrait	/buʁɛ/
bourrant	/buʁɑ̃/
bourrasque	/buʁask/
bourrasques	/buʁask/
bourratif	/buʁatif/
bourre	/buʁ/
bourré	/buʁe/
bourreau	/buʁo/
bourreaux	/buʁo/
bourrée	/buʁe/
bourrées	/buʁe/
bourrelet	/buʁlɛ/
bourrelets	/buʁlɛ/
bourrent	/buʁ/
bourrer	/buʁe/
bourres	/buʁ/
bourrés	/buʁe/
bourrez	/buʁe/
bourrichon	/buʁiʃɔ̃/
bourricot	/buʁiko/
bourrin	/buʁɛ̃/
bourrins	/buʁɛ̃/
bourrique	/buʁik/
bourru	/buʁy/
bourse	/buʁs/
Bourse	/buʁs/
bourses	/buʁs/
boursier	/buʁsje/
boursière	/buʁsjɛʁ/
boursières	/buʁsjɛʁ/
boursiers	/buʁsje/
boursouflé	/buʁsufle/
bousculade	/buskylad/
bousculaient	/buskylɛ/
bousculait	/buskylɛ/
bousculant	/buskylɑ̃/
bouscule	/buskyl/
bousculé	/buskyle/
bousculée	/buskyle/
bousculent	/buskyl/
bousculer	/buskyle/
bouscules	/buskyl/
bousculés	/buskyle/
bousculez	/buskyle/
bouse	/buz/
bouses	/buz/
bouseuse	/buzøz/
bouseux	/buzø/
bousier	/buzje/
bousille	/buzij/
bousillé	/buzije/
bousillée	/buzije/
bousillées	/buzije/
bousillent	/buzij/
bousiller	/buzije/
bousilles	/buzij/
bousillés	/buzije/
bousillez	/buzije/
boussole	/busɔl/
boussoles	/busɔl/
bout	/bu/
boutade	/butad/
bouteille	/butɛj/
bouteilles	/butɛj/
boutique	/butik/
boutiques	/butik/
boutiquier	/butikje/
bouton	/butɔ̃/
boutonne	/butɔn/
boutonné	/butɔne/
boutonnée	/butɔne/
boutonner	/butɔne/
boutonneuse	/butɔnøz/
boutonneux	/butɔnø/
boutonnez	/butɔne/
boutonnière	/butɔnjɛʁ/
boutonnières	/butɔnjɛʁ/
boutons	/butɔ̃/
bouts	/bu/
boutures	/butyʁ/
bouvier	/buvje/
Bovary	/bɔvaʁi/
bovin	/bɔvɛ̃/
bovine	/bɔvin/
bovins	/bɔvɛ̃/
bowling	/buliŋ/
box	/bɔks/
boxais	/bɔksɛ/
boxait	/bɔksɛ/
boxe	/bɔks/
boxé	/bɔkse/
boxer	/bɔkse/, /bɔksɛʁ/
boxers	/bɔkse/, /bɔksɛʁ/
boxes	/bɔks/
boxeur	/bɔksœʁ/
boxeurs	/bɔksœʁ/
boxeuse	/bɔksøz/
boxez	/bɔkse/
boxon	/bɔksɔ̃/
boy	/bɔj/
boyau	/bwajo/
boycott	/bɔjkɔt/
boycotte	/bɔjkɔt/
boycotté	/bɔjkɔte/
boycotter	/bɔjkɔte/
boys	/bɔj/
brabant	/bʁabɑ̃/
Brabant	/bʁabɑ̃/
bracelet	/bʁaslɛ/
bracelets	/bʁaslɛ/
brachial	/bʁakjal/
brachiale	/bʁakjal/
braconnage	/bʁakɔnaʒ/
braconner	/bʁakɔne/
braconnier	/bʁakɔnje/
braconniers	/bʁakɔnje/
brade	/bʁad/
bradé	/bʁade/
brader	/bʁade/
braderie	/bʁadʁi/
braguette	/bʁagɛt/
braguettes	/bʁagɛt/
brahmane	/bʁaman/
brahmanes	/bʁaman/
braillait	/bʁajɛ/
braillant	/bʁajɑ̃/
braillard	/bʁajaʁ/
braillards	/bʁajaʁ/
braille	/bʁaj/
braillé	/bʁaje/
braillent	/bʁaj/
brailler	/bʁaje/
brailles	/bʁaj/
brailleuses	/bʁajøz/
brainstorming	/bʁɛnstɔʁmiŋ/
braire	/bʁɛʁ/
braise	/bʁɛz/
braisé	/bʁɛze/
braises	/bʁɛz/
brancard	/bʁɑ̃kaʁ/
brancardier	/bʁɑ̃kaʁdje/
brancardiers	/bʁɑ̃kaʁdje/
brancards	/bʁɑ̃kaʁ/
branchages	/bʁɑ̃ʃaʒ/
branchais	/bʁɑ̃ʃɛ/
branchait	/bʁɑ̃ʃɛ/
branchant	/bʁɑ̃ʃɑ̃/
branche	/bʁɑ̃ʃ/
branché	/bʁɑ̃ʃe/
branchée	/bʁɑ̃ʃe/
branchées	/bʁɑ̃ʃe/
branchement	/bʁɑ̃ʃmɑ̃/
branchements	/bʁɑ̃ʃmɑ̃/
branchent	/bʁɑ̃ʃ/
brancher	/bʁɑ̃ʃe/
brancherait	/bʁɑ̃ʃəʁɛ/
branches	/bʁɑ̃ʃ/
branchés	/bʁɑ̃ʃe/
branchez	/bʁɑ̃ʃe/
branchies	/bʁɑ̃ʃi/
brandebourg	/bʁɑ̃dbuʁ/
Brandebourg	/bʁɑ̃dbuʁ/
brandi	/bʁɑ̃di/
brandie	/bʁɑ̃di/
brandir	/bʁɑ̃diʁ/
brandis	/bʁɑ̃di/
brandissait	/bʁɑ̃disɛ/
brandissant	/bʁɑ̃disɑ̃/
brandissent	/bʁɑ̃dis/
brandissez	/bʁɑ̃dise/
brandit	/bʁɑ̃di/
brandon	/bʁɑ̃dɔ̃/
branlais	/bʁɑ̃lɛ/
branlait	/bʁɑ̃lɛ/
branlant	/bʁɑ̃lɑ̃/
branlante	/bʁɑ̃lɑ̃t/
branle	/bʁɑ̃l/
branlé	/bʁɑ̃le/
branlée	/bʁɑ̃le/
branlent	/bʁɑ̃l/
branler	/bʁɑ̃le/
branles	/bʁɑ̃l/
branlette	/bʁɑ̃lɛt/
branleur	/bʁɑ̃lœʁ/
branlez	/bʁɑ̃le/
braquage	/bʁakaʒ/
braquages	/bʁakaʒ/
braquais	/bʁakɛ/
braquait	/bʁakɛ/
braquant	/bʁakɑ̃/
braque	/bʁak/
braqué	/bʁake/
braquée	/bʁake/
braquées	/bʁake/
braquent	/bʁak/
braquer	/bʁake/
braques	/bʁak/
braqués	/bʁake/
braqueur	/bʁakœʁ/
braquez	/bʁake/
bras	/bʁa/
brasier	/bʁazje/
Brasilia	/bʁazilja/
brassage	/bʁasaʒ/
brassard	/bʁasaʁ/
brassards	/bʁasaʁ/
brasse	/bʁas/
brassé	/bʁase/
brassée	/bʁase/
brassent	/bʁas/
brasser	/bʁase/
brasserie	/bʁasʁi/
brasseries	/bʁasʁi/
brasses	/bʁas/
brasseur	/bʁasœʁ/
brassez	/bʁase/
brassière	/bʁasjɛʁ/
brava	/bʁava/
bravache	/bʁavaʃ/
bravade	/bʁavad/
bravant	/bʁavɑ̃/
brave	/bʁav/
bravé	/bʁave/
bravement	/bʁavmɑ̃/
braver	/bʁave/
braves	/bʁav/
bravo	/bʁavo/
bravos	/bʁavo/
bravoure	/bʁavuʁ/
break	/bʁɛk/
breaks	/bʁɛk/
brebis	/bʁəbi/
brèche	/bʁɛʃ/
brèches	/bʁɛʃ/
bréchet	/bʁeʃɛ/
bredouille	/bʁəduj/
bredouiller	/bʁəduje/
bredouilles	/bʁəduj/
bref	/bʁɛf/
brefs	/bʁɛf/
brelan	/bʁəlɑ̃/
breloque	/bʁəlɔk/
breloques	/bʁəlɔk/
brème	/bʁɛm/
Brésil	/bʁezil/
brésilien	/bʁeziljɛ̃/
brésilienne	/bʁeziljɛn/
brésiliennes	/bʁeziljɛn/
brésiliens	/bʁeziljɛ̃/
Bretagne	/bʁətaɲ/
bretelle	/bʁətɛl/
bretelles	/bʁətɛl/
breton	/bʁətɔ̃/
bretonne	/bʁətɔn/
bretons	/bʁətɔ̃/
bretzel	/bʁɛtzɛl/
bretzels	/bʁɛtzɛl/
breuvage	/bʁœvaʒ/
breuvages	/bʁœvaʒ/
brève	/bʁɛv/
brèves	/bʁɛv/
brevet	/bʁəvɛ/
breveté	/bʁəvte/
brevetée	/bʁəvəte/
breveter	/bʁəvte/
brevets	/bʁəvɛ/
briard	/bʁijaʁ/
bribes	/bʁib/
bricolage	/bʁikɔlaʒ/
bricolait	/bʁikɔlɛ/
bricolant	/bʁikɔlɑ̃/
bricole	/bʁikɔl/
bricolé	/bʁikɔle/
bricoler	/bʁikɔle/
bricoles	/bʁikɔl/
bricoleur	/bʁikɔlœʁ/
bricoleurs	/bʁikɔlœʁ/
bricoleuse	/bʁikɔløz/
brida	/bʁida/
bride	/bʁid/
bridé	/bʁide/
bridée	/bʁide/
brider	/bʁide/
brides	/bʁid/
bridés	/bʁide/
bridge	/bʁidʒ/
bridger	/bʁidʒe/
bridges	/bʁidʒ/
brie	/bʁi/
briefe	/bʁif/
briefé	/bʁife/
briefée	/bʁife/
briefer	/bʁife/
briefera	/bʁifəʁa/
brieferai	/bʁifəʁɛ/
briefés	/bʁife/
briefez	/bʁife/
briefing	/bʁifiŋ/
briefings	/bʁifiŋ/
brièvement	/bʁijɛvmɑ̃/
brièveté	/bʁijɛvte/
brigade	/bʁigad/
brigades	/bʁigad/
brigadier	/bʁigadje/
brigand	/bʁigɑ̃/
brigandage	/bʁigɑ̃daʒ/
brigands	/bʁigɑ̃/
brigue	/bʁig/
briguer	/bʁige/
brilla	/bʁija/
brillaient	/bʁijɛ/
brillait	/bʁijɛ/
brillamment	/bʁijamɑ̃/
brillant	/bʁijɑ̃/
brillante	/bʁijɑ̃t/
brillantes	/bʁijɑ̃t/
brillantine	/bʁijɑ̃tin/
brillants	/bʁijɑ̃/
brille	/bʁij/
brillé	/bʁije/
brillent	/bʁij/
briller	/bʁije/
brillera	/bʁijəʁa/
brilleront	/bʁijəʁɔ̃/
brilles	/bʁij/
brillez	/bʁije/
brimades	/bʁimad/
brime	/bʁim/
brimé	/bʁime/
brimer	/bʁime/
brin	/bʁɛ̃/
brindille	/bʁɛ̃dij/
brindilles	/bʁɛ̃dij/
bringue	/bʁɛ̃g/
brins	/bʁɛ̃/
brio	/bʁijo/
brioche	/bʁijɔʃ/
brioches	/bʁijɔʃ/
brique	/bʁik/
briquer	/bʁike/
briques	/bʁik/
briquet	/bʁikɛ/
briqueterie	/bʁikɛtʁi/
briquets	/bʁikɛ/
briquettes	/bʁikɛt/
bris	/bʁi/
brisa	/bʁiza/
brisaient	/bʁizɛ/
brisais	/bʁizɛ/
brisait	/bʁizɛ/
brisant	/bʁizɑ̃/
brisants	/bʁizɑ̃/
briscard	/bʁiskaʁ/
brise	/bʁiz/
brisé	/bʁize/
brisée	/bʁize/
brisées	/bʁize/
brisent	/bʁiz/
briser	/bʁize/
brisera	/bʁizəʁa/
briserai	/bʁizəʁɛ/
briserais	/bʁizəʁɛ/
briserait	/bʁizəʁɛ/
briseras	/bʁizəʁa/
briserez	/bʁizəʁe/
briserons	/bʁizəʁɔ̃/
briseront	/bʁizəʁɔ̃/
brises	/bʁiz/
brisés	/bʁize/
briseur	/bʁizœʁ/
briseurs	/bʁizœʁ/
briseuse	/bʁizøz/
brisez	/bʁize/
brisons	/bʁizɔ̃/
bristol	/bʁistɔl/
britannique	/bʁitanik/
britanniques	/bʁitanik/
broc	/bʁo/
brocante	/bʁɔkɑ̃t/
brocantes	/bʁɔkɑ̃t/
brocanteur	/bʁɔkɑ̃tœʁ/
brocart	/bʁɔkaʁ/
brochant	/bʁɔʃɑ̃/
broche	/bʁɔʃ/
broches	/bʁɔʃ/
brochet	/bʁɔʃɛ/
brochette	/bʁɔʃɛt/
brochettes	/bʁɔʃɛt/
brochure	/bʁɔʃyʁ/
brochures	/bʁɔʃyʁ/
brocoli	/bʁɔkɔli/
brocolis	/bʁɔkɔli/
brode	/bʁɔd/
brodé	/bʁɔde/
brodée	/bʁɔde/
brodées	/bʁɔde/
broder	/bʁɔde/
broderie	/bʁɔdʁi/
broderies	/bʁɔdʁi/
brodés	/bʁɔde/
brodeur	/bʁɔdœʁ/
broie	/bʁwa/
broies	/bʁwa/
bromure	/bʁɔmyʁ/
bronche	/bʁɔ̃ʃ/
bronché	/bʁɔ̃ʃe/
broncher	/bʁɔ̃ʃe/
bronches	/bʁɔ̃ʃ/
bronchique	/bʁɔ̃ʃik/
bronchite	/bʁɔ̃ʃit/
bronchoscopie	/bʁɔ̃kɔskɔpi/
brontosaure	/bʁɔ̃tɔzɔʁ/
bronzage	/bʁɔ̃zaʒ/
bronzant	/bʁɔ̃zɑ̃/
bronzante	/bʁɔ̃zɑ̃t/
bronze	/bʁɔ̃z/
bronzé	/bʁɔ̃ze/
bronzée	/bʁɔ̃ze/
bronzées	/bʁɔ̃ze/
bronzer	/bʁɔ̃ze/
bronzes	/bʁɔ̃z/
bronzés	/bʁɔ̃ze/
bronzette	/bʁɔ̃zɛt/
brossage	/bʁɔsaʒ/
brossais	/bʁɔsɛ/
brossait	/bʁɔsɛ/
brossant	/bʁɔsɑ̃/
brosse	/bʁɔs/
brossé	/bʁɔse/
brossées	/bʁɔse/
brossent	/bʁɔs/
brosser	/bʁɔse/
brosserai	/bʁɔsəʁɛ/
brosses	/bʁɔs/
brossez	/bʁɔse/
brou	/bʁu/
brouette	/bʁuɛt/
brouettes	/bʁuɛt/
brouhaha	/bʁuaa/
brouillage	/bʁujaʒ/
brouillard	/bʁujaʁ/
brouillards	/bʁujaʁ/
brouille	/bʁuj/
brouillé	/bʁuje/
brouillée	/bʁuje/
brouillées	/bʁuje/
brouillent	/bʁuj/
brouiller	/bʁuje/
brouilles	/bʁuj/
brouillés	/bʁuje/
brouilleur	/bʁujœʁ/
brouilleurs	/bʁujœʁ/
brouillez	/bʁuje/
brouillon	/bʁujɔ̃/
brouillons	/bʁujɔ̃/
broussaille	/bʁusaj/
broussailles	/bʁusaj/
brousse	/bʁus/
broute	/bʁut/
brouté	/bʁute/
broutent	/bʁut/
brouter	/bʁute/
broutille	/bʁutij/
broutilles	/bʁutij/
brownie	/bʁɔni/
broyé	/bʁwaje/
broyée	/bʁwaje/
broyées	/bʁwaje/
broyer	/bʁwaje/
broyés	/bʁwaje/
broyeur	/bʁwajœʁ/
broyeurs	/bʁwajœʁ/
broyeuse	/bʁwajøz/
broyez	/bʁwaje/
brrr	/bʁ/
bru	/bʁy/
bruine	/bʁɥin/
bruissement	/bʁɥismɑ̃/
bruit	/bʁɥi/
bruitage	/bʁɥitaʒ/
bruitages	/bʁɥitaʒ/
bruits	/bʁɥi/
brûla	/bʁyla/
brûlaient	/bʁylɛ/
brûlais	/bʁylɛ/
brulait	/bʁylɛ/
brûlait	/bʁylɛ/
brulant	/bʁylɑ̃/
brûlant	/bʁylɑ̃/
brûlante	/bʁylɑ̃t/
brûlantes	/bʁylɑ̃t/
brûlants	/bʁylɑ̃/
brule	/bʁyl/
brûle	/bʁyl/
brulé	/bʁyle/
brûlé	/bʁyle/
brûlée	/bʁyle/
brûlées	/bʁyle/
brulent	/bʁyl/
brûlent	/bʁyl/
bruler	/bʁyle/
brûler	/bʁyle/
brûlera	/bʁyləʁa/
brulera	/bʁylʁa/
brûlerai	/bʁyləʁɛ/
brûleraient	/bʁyləʁɛ/
brûlerais	/bʁyləʁɛ/
brûlerait	/bʁyləʁɛ/
brûleras	/bʁyləʁa/
brûlèrent	/bʁylɛʁ/
brûlerez	/bʁyləʁe/
brûlerons	/bʁyləʁɔ̃/
brûleront	/bʁyləʁɔ̃/
brules	/bʁyl/
brûles	/bʁyl/
brulés	/bʁyle/
brûlés	/bʁyle/
brûleur	/bʁylœʁ/
brûleurs	/bʁylœʁ/
brulez	/bʁyle/
brûlez	/bʁyle/
brûliez	/bʁylje/
brûlons	/bʁylɔ̃/
brûlure	/bʁylyʁ/
brûlures	/bʁylyʁ/
brume	/bʁym/
brumes	/bʁym/
brumeuse	/bʁymøz/
brumeuses	/bʁymøz/
brumeux	/bʁymø/
brun	/bʁœ̃/
brunch	/bʁœntʃ/
brunchs	/bʁœntʃ/
brune	/bʁyn/
Brunei	/bʁynei/
brunes	/bʁyn/
brunet	/bʁynɛ/
brunette	/bʁynɛt/
brunettes	/bʁynɛt/
bruni	/bʁyni/
bruns	/bʁœ̃/
Brushing	/bʁœʃiŋ/
brusque	/bʁysk/
brusqué	/bʁyske/
brusquement	/bʁyskəmɑ̃/
brusquer	/bʁyske/
brusquerie	/bʁyskəʁi/
brusques	/bʁysk/
brusquez	/bʁyske/
brut	/bʁyt/
brutal	/bʁytal/
brutale	/bʁytal/
brutalement	/bʁytalmɑ̃/
brutales	/bʁytal/
brutalisait	/bʁytalizɛ/
brutalise	/bʁytaliz/
brutalisé	/bʁytalize/
brutalisée	/bʁytalize/
brutaliser	/bʁytalize/
brutalisés	/bʁytalize/
brutalisez	/bʁytalize/
brutalité	/bʁytalite/
brutalités	/bʁytalite/
brutaux	/bʁyto/
brute	/bʁyt/
brutes	/bʁyt/
bruts	/bʁyt/
Bruxelles	/bʁysɛl/
bruyamment	/bʁɥijamɑ̃/
bruyant	/bʁɥijɑ̃/
bruyante	/bʁɥijɑ̃t/
bruyantes	/bʁɥijɑ̃t/
bruyants	/bʁɥijɑ̃/
bruyère	/bʁɥjɛʁ/
bruyères	/bʁɥjɛʁ/
bu	/by/
buanderie	/byɑ̃dʁi/
bubonique	/bybɔnik/
Bucarest	/bykaʁɛst/
buccal	/bykal/
buccale	/bykal/
bûche	/byʃ/
bûché	/byʃe/
bûcher	/byʃe/
bûcheron	/byʃʁɔ̃/, /byʃəʁɔ̃/
bûcherons	/byʃʁɔ̃/, /byʃəʁɔ̃/
bûchers	/byʃe/
bûches	/byʃ/
bucolique	/bykɔlik/
Budapest	/bydapɛst/
budget	/bydʒɛ/
budgétaire	/bydʒetɛʁ/
budgétaires	/bydʒetɛʁ/
budgets	/bydʒɛ/
bue	/by/
buée	/bɥe/
bues	/by/
buffet	/byfɛ/
buffets	/byfɛ/
buffle	/byfl/
buffles	/byfl/
buggy	/bygi/
building	/bildiŋ/
buildings	/bildiŋ/
buisson	/bɥisɔ̃/
buissonnière	/bɥisɔnjɛʁ/
buissons	/bɥisɔ̃/
bulbe	/bylb/
bulbes	/bylb/
bulgare	/bylgaʁ/
bulgares	/bylgaʁ/
Bulgarie	/bylgaʁi/
bulla	/byla/
bulldozer	/byldozɛʁ/
bulldozers	/byldozɛʁ/
bulle	/byl/
buller	/byle/
bulles	/byl/
bulletin	/byltɛ̃/
bulletins	/byltɛ̃/
bungalow	/bœ̃galo/
bungalows	/bœ̃galo/
bunker	/bunkœʁ/
bunkers	/bunkœʁ/
Bunsen	/bœ̃zɛn/
buraliste	/byʁalist/
bure	/byʁ/
bureau	/byʁo/
bureaucrate	/byʁokʁat/
bureaucrates	/byʁokʁat/
bureaucratie	/byʁokʁasi/
bureaucratique	/byʁokʁatik/
bureaucratiques	/byʁokʁatik/
bureaux	/byʁo/
burger	/bœʁgœʁ/
burin	/byʁɛ̃/
Burkina	/byʁkina/
burlesque	/byʁlɛsk/
Burundi	/buʁundi/
bus	/bys/
busard	/byzaʁ/
buse	/byz/
buses	/byz/
business	/biznɛs/
buste	/byst/
bustes	/byst/
bustier	/bystje/
but	/by/, /byt/
butait	/bytɛ/
butane	/bytan/
bute	/byt/
buté	/byte/
butée	/byte/
butent	/byt/
buter	/byte/
butera	/bytəʁa/
buterai	/bytəʁɛ/
buterais	/bytəʁɛ/
buteront	/bytəʁɔ̃/
butes	/byt/
butés	/byte/
buteur	/bytœʁ/
butez	/byte/
butin	/bytɛ̃/
butine	/bytin/
butiner	/bytine/
butins	/bytɛ̃/
butoir	/bytwaʁ/
butor	/bytɔʁ/
buts	/by/, /byt/
butte	/byt/
butté	/byte/
butter	/byte/
buttes	/byt/
buttons	/bytɔ̃/
buvable	/byvabl/
buvaient	/byvɛ/
buvais	/byvɛ/
buvait	/byvɛ/
buvant	/byvɑ̃/
buvard	/byvaʁ/
buvette	/byvɛt/
buveur	/byvœʁ/
buveurs	/byvœʁ/
buveuse	/byvøz/
buvez	/byve/
buviez	/byvje/
buvions	/byvjɔ̃/
buvons	/byvɔ̃/
Byzance	/bizɑ̃s/
byzantin	/bizɑ̃tɛ̃/
byzantine	/bizɑ̃tin/
c	/s/
ç	/s/
cest	/sε/
cétait	/setɛ/
ça	/sa/
çà	/sa/
cabale	/kabal/
cabane	/kaban/
cabanes	/kaban/
cabanon	/kabanɔ̃/
cabaret	/kabaʁɛ/
cabarets	/kabaʁɛ/
cabas	/kaba/
cabestan	/kabɛstɑ̃/
cabillaud	/kabijo/
cabine	/kabin/
cabines	/kabin/
cabinet	/kabinɛ/
cabinets	/kabinɛ/
câblage	/kablaʒ/
câblages	/kablaʒ/
câble	/kabl/
câblé	/kable/
câblée	/kable/
câblées	/kable/
câbler	/kable/
câbles	/kabl/
cabochard	/kabɔʃaʁ/
caboche	/kabɔʃ/
cabossé	/kabɔse/
cabossée	/kabɔse/
cabot	/kabo/
cabotin	/kabɔtɛ̃/
cabots	/kabo/
cabre	/kabʁ/
cabré	/kabʁe/
cabrera	/kabʁəʁa/
cabri	/kabʁi/
cabrioles	/kabʁijɔl/
cabriolet	/kabʁijɔlɛ/
Cac	/kak/, /sease/
caca	/kaka/
cacahouète	/kakawɛt/
cacahouètes	/kakawɛt/
cacahuète	/kakawɛt/
cacahuètes	/kakawɛt/
cacao	/kakao/
cacas	/kaka/
cacatoès	/kakatɔɛs/
cacha	/kaʃa/
cachaient	/kaʃɛ/
cachais	/kaʃɛ/
cachait	/kaʃɛ/
cachalot	/kaʃalo/
cachant	/kaʃɑ̃/
cache	/kaʃ/
caché	/kaʃe/
cachée	/kaʃe/
cachées	/kaʃe/
cachemire	/kaʃmiʁ/
Cachemire	/kaʃmiʁ/
cachent	/kaʃ/
cacher	/kaʃe/, /kaʃɛʁ/
cachera	/kaʃəʁa/
cacherai	/kaʃəʁɛ/
cacheraient	/kaʃəʁɛ/
cacherais	/kaʃəʁɛ/
cacherait	/kaʃəʁɛ/
cacheras	/kaʃəʁa/
cachèrent	/kaʃɛʁ/
cacherez	/kaʃəʁe/
cacheriez	/kaʃəʁje/
cacherons	/kaʃəʁɔ̃/
cacheront	/kaʃəʁɔ̃/
caches	/kaʃ/
cachés	/kaʃe/
cachet	/kaʃɛ/
cacheté	/kaʃəte/
cachetée	/kaʃəte/
cachetons	/kaʃətɔ̃/
cachets	/kaʃɛ/
cachette	/kaʃɛt/
cachettes	/kaʃɛt/
cachez	/kaʃe/
cachiez	/kaʃje/
cachions	/kaʃjɔ̃/
cachons	/kaʃɔ̃/
cachot	/kaʃo/
cachots	/kaʃo/
cachotteries	/kaʃɔtʁi/
cachottier	/kaʃɔtje/
cachottière	/kaʃɔtjɛʁ/
cachottiers	/kaʃɔtje/
cachou	/kaʃu/
cacique	/kasik/
cacophonie	/kakɔfɔni/
cactus	/kaktys/
cadastre	/kadastʁ/
cadavérique	/kadaveʁik/
cadavre	/kadavʁ/
cadavres	/kadavʁ/
caddie	/kadi/
Caddie	/kadi/
caddies	/kadi/
caddy	/kadi/
cadeau	/kado/
cadeaux	/kado/
cadenas	/kadna/
cadenassé	/kadnase/
cadenassée	/kadnase/
cadence	/kadɑ̃s/
cadencé	/kadɑ̃se/
cadences	/kadɑ̃s/
cadet	/kadɛ/
cadets	/kadɛ/
cadette	/kadɛt/
cadmium	/kadmjɔm/
cadrage	/kadʁaʒ/
cadrait	/kadʁɛ/
cadran	/kadʁɑ̃/
cadrans	/kadʁɑ̃/
cadre	/kadʁ/
cadré	/kadʁe/
cadrent	/kadʁ/
cadrer	/kadʁe/
cadres	/kadʁ/
cadreur	/kadʁœʁ/
caduc	/kadyk/
caducée	/kadyse/
cafard	/kafaʁ/
cafarde	/kafaʁd/
cafarder	/kafaʁde/
cafardeux	/kafaʁdø/
cafards	/kafaʁ/
café	/kafe/
caféine	/kafein/
cafés	/kafe/
cafétéria	/kafeteʁja/
cafetière	/kaftjɛʁ/
cafetières	/kaftjɛʁ/
cafouillage	/kafujaʒ/
cafouille	/kafuj/
cafouillé	/kafuje/
caftan	/kaftɑ̃/
cafte	/kaft/
cafté	/kafte/
cafter	/kafte/
caftes	/kaft/
cafteur	/kaftœʁ/
cage	/kaʒ/
cageot	/kaʒo/
cageots	/kaʒo/
cages	/kaʒ/
cagibi	/kaʒibi/
cagneux	/kaɲø/
cagnotte	/kaɲɔt/
cagoule	/kagul/
cagoules	/kagul/
cahier	/kaje/
cahiers	/kaje/
cahoteuse	/kaɔtøz/
cahoteux	/kaɔtø/
cahots	/kao/
cahute	/kayt/
caïd	/kaid/
caïds	/kaid/
caillasse	/kajas/
caille	/kaj/
caillé	/kaje/
cailler	/kaje/
cailles	/kaj/
caillot	/kajo/
caillots	/kajo/
caillou	/kaju/
caïman	/kaimɑ̃/
caïmans	/kaimɑ̃/
Caïn	/kaɛ̃/
Caire	/kɛʁ/
caisse	/kɛs/
caisses	/kɛs/
caissier	/kesje/
caissière	/kesjɛʁ/
caissières	/kesjɛʁ/
caissiers	/kesje/
caisson	/kɛsɔ̃/
caissons	/kɛsɔ̃/
cajole	/kaʒɔl/
cajoler	/kaʒɔle/
cajou	/kaʒu/
cajun	/kaʒœ̃/
cajuns	/kaʒœ̃/
cake	/kɛk/
cakes	/kɛk/
cal	/kal/
cala	/kala/
calabrais	/kalabʁɛ/
Calabre	/kalabʁ/
calais	/kalɛ/
Calais	/kalɛ/
calamar	/kalamaʁ/
calamars	/kalamaʁ/
calamine	/kalamin/
calamité	/kalamite/
calamités	/kalamite/
calamiteux	/kalamitø/
calandre	/kalɑ̃dʁ/
calcaire	/kalkɛʁ/
calcification	/kalsifikasjɔ̃/
calciné	/kalsine/
calcinée	/kalsine/
calcinés	/kalsine/
calcite	/kalsit/
calcium	/kalsjɔm/
calcul	/kalkyl/
calculait	/kalkylɛ/
calculant	/kalkylɑ̃/
calculateur	/kalkylatœʁ/
calculateurs	/kalkylatœʁ/
calculatrice	/kalkylatʁis/
calculatrices	/kalkylatʁis/
calcule	/kalkyl/
calculé	/kalkyle/
calculée	/kalkyle/
calculées	/kalkyle/
calculent	/kalkyl/
calculer	/kalkyle/
calcules	/kalkyl/
calculés	/kalkyle/
calculette	/kalkylɛt/
calculez	/kalkyle/
calculons	/kalkylɔ̃/
calculs	/kalkyl/
Calcutta	/kalkyta/
cale	/kal/
calé	/kale/
calebasse	/kalbas/
calèche	/kalɛʃ/
calèches	/kalɛʃ/
caleçon	/kalsɔ̃/
caleçons	/kalsɔ̃/
calée	/kale/
calembour	/kalɑ̃buʁ/
calembours	/kalɑ̃buʁ/
calendrier	/kalɑ̃dʁije/
calendriers	/kalɑ̃dʁije/
calepin	/kalpɛ̃/
calepins	/kalpɛ̃/
caler	/kale/
cales	/kal/
calés	/kale/
calez	/kale/
calibrage	/kalibʁaʒ/
calibre	/kalibʁ/
calibré	/kalibʁe/
